year,region,population,life_expectancy,child_mortality,babies_per_woman,income_per_person
1800,africa,81209567,30.09157507,443.51,6.58,437.6992975
1801,africa,81313551,30.01647876,443.47,6.58,437.322912
1802,africa,81418900,30.01911666,443.44,6.58,436.9499991
1803,africa,81525621,30.09918755,443.41,6.58,436.5014596
1804,africa,81633731,30.10171999,443.37,6.58,436.0338495
1805,africa,81743247,30.10424997,443.32,6.58,434.7656264
1806,africa,81854174,30.10677768,443.29,6.58,434.5010158
1807,africa,81966528,30.10930315,443.26,6.58,435.6780098
1808,africa,82080332,30.11182667,443.22,6.58,432.9287447
1809,africa,82195596,30.11434824,443.19,6.58,432.1910665
1810,africa,82313562,30.11690153,443.16,6.58,433.4952389
1811,africa,82440934,30.11941531,443.12,6.58,429.3123784
1812,africa,82579573,30.12191294,443.09,6.58,429.1137136
1813,africa,82729616,30.12439384,443.06,6.58,432.4152677
1814,africa,82891459,30.12685283,443.03,6.58,432.0826921
1815,africa,83065241,30.12940717,442.98,6.58,428.4091067
1816,africa,83251124,30.13181891,442.95,6.58,428.4890446
1817,africa,83449261,30.13420584,442.92,6.58,428.5579504
1818,africa,83659804,29.89504081,442.89,6.58,429.1026896
1819,africa,83954434,29.85509506,442.86,6.58,426.1136195
1820,africa,84334648,29.90832299,442.84,6.58,425.5469688
1821,africa,84811641,30.1417081,442.82,6.58,428.6889267
1822,africa,85376766,30.14286949,442.81,6.58,427.9300763
1823,africa,86056105,30.14432772,442.79,6.58,428.8676842
1824,africa,86755919,30.14580107,442.77,6.58,429.8439028
1825,africa,87476538,30.14728908,442.74,6.58,430.9803454
1826,africa,88218276,30.14879104,442.72,6.58,431.9965341
1827,africa,88981474,30.15030589,442.7,6.58,433.051735
1828,africa,89766472,29.89536991,442.68,6.58,434.1677371
1829,africa,90573904,29.74683529,442.66,6.58,435.3127454
1830,africa,91404143,29.59688319,442.64,6.58,435.4886116
1831,africa,92257560,29.75103229,442.62,6.58,435.8954791
1832,africa,93125349,30.16071776,442.6,6.58,437.0770113
1833,africa,94007792,30.16654026,442.57,6.59,438.3366683
1834,africa,94904834,30.16556688,442.54,6.59,439.8072262
1835,africa,95816766,29.89669874,442.52,6.59,441.2210792
1836,africa,96743850,29.74563611,442.49,6.59,442.5668767
1837,africa,97686357,29.58257213,442.47,6.59,443.9195273
1838,africa,98644581,29.74590563,442.44,6.59,445.3812008
1839,africa,99638115,30.16642175,442.41,6.59,447.1041308
1840,africa,100667803,30.1782055,442.37,6.59,448.9299424
1841,africa,101734515,30.17049526,442.33,6.59,450.6335292
1842,africa,102839146,30.17360892,442.28,6.59,452.520803
1843,africa,103982621,30.18541855,442.22,6.59,454.7781505
1844,africa,105146559,30.17266554,442.14,6.59,456.7489264
1845,africa,106331394,30.18960117,442.08,6.59,458.7708309
1846,africa,107537534,30.20189411,442.02,6.59,460.7114608
1847,africa,108765412,30.21141073,441.96,6.59,462.8399151
1848,africa,110015469,30.22093087,441.9,6.59,466.2579102
1849,africa,111156406,29.8557793,441.85,6.59,469.49816
1850,africa,112185299,29.72151093,441.81,6.59,472.6696308
1851,africa,112844408,30.11052383,441.79,6.59,477.5997753
1852,africa,113381827,30.33721226,441.78,6.59,479.6536904
